loc_pair,route,type,intersection,dist,abs_diff
06 07,06 07 walking,walking,06,0.6799195827195748,0
06 08,06 08 driving,driving,06,0.88384410616325,0.2202579911126431
06 08,06 08 walking,walking,06,0.6635861150506069,0
06 09,06 09 driving,driving,06,0.6814240756102972,0.04214045520018184
06 09,06 09 walking,walking,06,0.6392836204101153,0
06 10,06 10 driving,driving,06,0.9790996321881389,0.4468403784389192
06 10,06 10 walking,walking,06,0.5322592537492197,0
06 11,06 11 driving,driving,06,1.2989402204166185,0.5891663101338518
06 11,06 11 walking,walking,06,0.7097739102827667,0
06 12,06 12 driving,driving,06,1.25218296381531,0.5126597962322903
06 12,06 12 walking,walking,06,0.7395231675830196,0
06 13,06 13 driving,driving,06,0.7273993444763923,0.12632541230490335
06 13,06 13 walking,walking,06,0.601073932171489,0
06 14,06 14 driving,driving,06,1.253864538748214,0.422340978861643
06 14,06 14 walking,walking,06,0.8315235598865709,0
06 15,06 15 driving,driving,06,0.674718618022162,0.12913720318463395
06 15,06 15 walking,walking,06,0.5455814148375281,0
06 16,06 16 driving,driving,06,0.6444418268911615,0.08523524861047449
06 16,06 16 walking,walking,06,0.559206578280687,0
06 17,06 17 driving,driving,06,0.5149419275381709,0.025135536881737253
06 17,06 17 walking,walking,06,0.48980639065643367,0
06 18,06 18 driving,driving,06,0.5102848301789304,0.04472609836716379
06 18,06 18 walking,walking,06,0.46555873181176666,0
06 19,06 19 driving,driving,06,1.3128493138230033,0.3785384869929125
06 19,06 19 walking,walking,06,0.9343108268300908,0
06 20,06 20 driving,driving,06,1.085326817036535,0.2332542672986515
06 20,06 20 walking,walking,06,0.8520725497378836,0
06 21,06 21 driving,driving,06,1.1255328861070917,0.2590157720648063
06 21,06 21 walking,walking,06,0.8665171140422854,0
06 22,06 22 driving,driving,06,1.159836314411127,0.30759894455736936
06 22,06 22 walking,walking,06,0.8522373698537576,0
06 23,06 23 driving,driving,06,1.2056730276740875,0.2526203615223809
06 23,06 23 walking,walking,06,0.9530526661517066,0
06 24,06 24 driving,driving,06,1.204092446332344,0.2492527234059383
06 24,06 24 walking,walking,06,0.9548397229264056,0
06 25,06 25 driving,driving,06,0.7727734983292431,0.12912432678651953
06 25,06 25 walking,walking,06,0.6436491715427236,0
06 26,06 26 driving,driving,06,0.7928610913392083,0.2605312549030372
06 26,06 26 walking,walking,06,0.5323298364361712,0
06 27,06 27 driving,driving,06,0.6202310071344078,0.07898132145539916
06 27,06 27 walking,walking,06,0.5412496856790087,0
06 28,06 28 driving,driving,06,0.49609308860697865,0.18854490298026977
06 28,06 28 walking,walking,06,0.3075481856267089,0
06 29,06 29 driving,driving,06,0.904513515744221,0.36936683335894205
06 29,06 29 walking,walking,06,0.535146682385279,0
06 30,06 30 driving,driving,06,1.003995921830449,0.116426005382121
06 30,06 30 walking,walking,06,0.8875699164483281,0
06 31,06 31 driving,driving,06,1.5416519590128954,0.5955051004877691
06 31,06 31 walking,walking,06,0.9461468585251264,0
06 32,06 32 driving,driving,06,1.6282939385349517,0.6805423153589428
06 32,06 32 walking,walking,06,0.9477516231760089,0
07 01,07 01 driving,driving,07,0.8347562735041566,0.11545587749233632
07 01,07 01 walking,walking,07,0.7193003960118203,0
07 02,07 02 driving,driving,07,0.882353619897365,0.11744247198716073
07 02,07 02 walking,walking,07,0.7649111479102043,0
07 03,07 03 driving,driving,07,1.1856399227740717,0.36353990483437537
07 03,07 03 walking,walking,07,0.8221000179396963,0
07 04,07 04 driving,driving,07,1.1792277263432476,0.30708615649551196
07 04,07 04 walking,walking,07,0.8721415698477356,0
07 05,07 05 driving,driving,07,1.2581527078063932,0.489496714671961
07 05,07 05 walking,walking,07,0.7686559931344322,0
07 06,07 06 driving,driving,07,0.9325715964820968,0.18123650411959547
07 06,07 06 walking,walking,07,0.7513350923625013,0
07 07,07 07 driving,driving,07,0.9117710119368616,0.2081598663416001
07 07,07 07 walking,walking,07,0.7036111455952615,0
07 08,07 08 driving,driving,07,1.1558183304175236,0.4843942616776913
07 08,07 08 walking,walking,07,0.6714240687398323,0
07 09,07 09 driving,driving,07,0.6635109629578649,0.03832515152400917
07 09,07 09 walking,walking,07,0.6251858114338558,0
07 10,07 10 driving,driving,07,0.9611865195357067,0.40523217905670206
07 10,07 10 walking,walking,07,0.5559543404790046,0
07 11,07 11 driving,driving,07,1.2660877005446658,0.5564441008211939
07 11,07 11 walking,walking,07,0.7096435997234719,0
07 12,07 12 driving,driving,07,1.2193252754879713,0.4799324184642465
07 12,07 12 walking,walking,07,0.7393928570237248,0
07 13,07 13 driving,driving,07,0.6613912252174177,0.0604476036052235
07 13,07 13 walking,walking,07,0.6009436216121942,0
07 14,07 14 driving,driving,07,1.2210122570246305,0.38961900769735436
07 14,07 14 walking,walking,07,0.8313932493272761,0
07 15,07 15 driving,driving,07,0.6087054698538887,0.06325436557565545
07 15,07 15 walking,walking,07,0.5454511042782333,0
07 16,07 16 driving,driving,07,0.5784308714049,0.01935460368350783
07 16,07 16 walking,walking,07,0.5590762677213922,0
07 17,07 17 driving,driving,07,0.4970288148857387,0
07 17,07 17 walking,walking,07,0.5135014773862187,0.016472662500479962
07 18,07 18 driving,driving,07,0.6218956985159907,0.14600736044835783
07 18,07 18 walking,walking,07,0.47588833806763287,0
