lat,lon,loc_pair,route,type,intersection,centroid,ord
39.95206832885742,-75.2055892944336,04 30,04 30 driving,driving,04,30,2
39.95174026489258,-75.20295715332031,04 30,04 30 driving,driving,04,30,3
39.951507568359375,-75.20115661621094,04 30,04 30 driving,driving,04,30,4
39.951290130615234,-75.19927978515625,04 30,04 30 driving,driving,04,30,5
39.9511604309082,-75.19831848144531,04 30,04 30 driving,driving,04,30,6
39.95079040527344,-75.19529724121094,04 30,04 30 driving,driving,04,30,7
39.95050811767578,-75.19303894042969,04 30,04 30 driving,driving,04,30,8
39.95035934448242,-75.1918716430664,04 30,04 30 driving,driving,04,30,9
39.9503173828125,-75.19168853759766,04 30,04 30 driving,driving,04,30,10
39.950069427490234,-75.19132995605469,04 30,04 30 driving,driving,04,30,11
39.94968032836914,-75.19078063964844,04 30,04 30 driving,driving,04,30,12
39.949588775634766,-75.190887451171875,04 30,04 30 driving,driving,04,30,13
39.94941711425781,-75.19108581542969,04 30,04 30 driving,driving,04,30,14
39.94934844970703,-75.19111633300781,04 30,04 30 driving,driving,04,30,15
39.94926834106445,-75.19107818603516,04 30,04 30 driving,driving,04,30,16
39.9510383605957,-75.20579528808594,05 30,05 30 driving,driving,05,30,1
39.95186996459961,-75.20562744140625,05 30,05 30 driving,driving,05,30,2
39.95206069946289,-75.20560455322266,05 30,05 30 driving,driving,05,30,3
39.951759338378906,-75.20307159423828,05 30,05 30 driving,driving,05,30,4
39.951717376708984,-75.20288848876953,05 30,05 30 driving,driving,05,30,5
39.95145797729492,-75.20074462890625,05 30,05 30 driving,driving,05,30,6
39.95127868652344,-75.1992416381836,05 30,05 30 driving,driving,05,30,7
39.950828552246094,-75.1957015991211,05 30,05 30 driving,driving,05,30,8
39.950767517089844,-75.19512176513672,05 30,05 30 driving,driving,05,30,9
39.950439453125,-75.19258880615234,05 30,05 30 driving,driving,05,30,10
39.950347900390625,-75.19181823730469,05 30,05 30 driving,driving,05,30,11
39.95030975341797,-75.19165802001953,05 30,05 30 driving,driving,05,30,12
39.94968032836914,-75.19078063964844,05 30,05 30 driving,driving,05,30,13
39.949398040771484,-75.19110870361328,05 30,05 30 driving,driving,05,30,14
39.9493293762207,-75.19111633300781,05 30,05 30 driving,driving,05,30,15
39.94926834106445,-75.19107818603516,05 30,05 30 driving,driving,05,30,16
39.94981002807617,-75.20575714111328,06 30,06 30 driving,driving,06,30,1
