lat,lon,loc_pair,route,type,intersection,centroid,ord,lat2,lon2,dist
39.95351791381836,-75.19429779052734,18 05,18 05 driving,driving,18,05,16,39.95351791381836,-75.19429779052734,0
39.95594024658203,-75.20446014404297,19 05,19 05 driving,driving,19,05,1,39.95743942260742,-75.20414733886719,0.10489952179801035
39.95743942260742,-75.20414733886719,19 05,19 05 driving,driving,19,05,2,39.95719909667969,-75.20221710205078,0.10356826818537491
39.95719909667969,-75.20221710205078,19 05,19 05 driving,driving,19,05,3,39.956817626953125,-75.19913482666016,0.16535715896982275
39.956817626953125,-75.19913482666016,19 05,19 05 driving,driving,19,05,4,39.95586013793945,-75.191436767578125,0.4130400752005253
39.95586013793945,-75.191436767578125,19 05,19 05 driving,driving,19,05,5,39.95433807373047,-75.19178771972656,0.10679450641769957
39.95433807373047,-75.19178771972656,19 05,19 05 driving,driving,19,05,6,39.95372009277344,-75.191925048828125,0.04331343995581016
39.95372009277344,-75.191925048828125,19 05,19 05 driving,driving,19,05,7,39.95356750488281,-75.19194793701172,0.010612271758445651
39.95356750488281,-75.19194793701172,19 05,19 05 driving,driving,19,05,8,39.953758239746094,-75.19340515136719,0.07829759562815677
39.953758239746094,-75.19340515136719,19 05,19 05 driving,driving,19,05,9,39.953857421875,-75.19422912597656,0.044176037175826834
39.953857421875,-75.19422912597656,19 05,19 05 driving,driving,19,05,10,39.95351791381836,-75.19429779052734,0.02373798175739223
39.95351791381836,-75.19429779052734,19 05,19 05 driving,driving,19,05,11,39.95351791381836,-75.19429779052734,0
39.955299377441406,-75.20491027832031,01 06,01 06 driving,driving,01,06,1,39.95594024658203,-75.20478057861328,0.04480944062465863
39.95594024658203,-75.20478057861328,01 06,01 06 driving,driving,01,06,2,39.95589828491211,-75.2044677734375,0.016818787372707863
39.95589828491211,-75.2044677734375,01 06,01 06 driving,driving,01,06,3,39.955657958984375,-75.20250701904297,0.10516625055979974
39.955657958984375,-75.20250701904297,01 06,01 06 driving,driving,01,06,4,39.95560836791992,-75.20208740234375,0.022486714085255977
39.95560836791992,-75.20208740234375,01 06,01 06 driving,driving,01,06,5,39.955509185791016,-75.20127868652344,0.04337674681894369
39.955509185791016,-75.20127868652344,01 06,01 06 driving,driving,01,06,6,39.95549011230469,-75.20101165771484,0.01420392435999843
39.95549011230469,-75.20101165771484,01 06,01 06 driving,driving,01,06,7,39.955387115478516,-75.200164794921875,0.04541350796425433
39.955387115478516,-75.200164794921875,01 06,01 06 driving,driving,01,06,8,39.955169677734375,-75.19844818115234,0.09215027996087359
39.955169677734375,-75.19844818115234,01 06,01 06 driving,driving,01,06,9,39.954917907714844,-75.19645690917969,0.10688952980195479
39.954917907714844,-75.19645690917969,01 06,01 06 driving,driving,01,06,10,39.95480728149414,-75.19559478759766,0.04629633629471391
39.95480728149414,-75.19559478759766,01 06,01 06 driving,driving,01,06,11,39.95402908325195,-75.19574737548828,0.05437226908884651
39.95402908325195,-75.19574737548828,01 06,01 06 driving,driving,01,06,12,39.95404052734375,-75.19586181640625,0.006112626056418507
39.95404052734375,-75.19586181640625,01 06,01 06 driving,driving,01,06,13,39.95396041870117,-75.19587707519531,0.005593662450621069
39.95396041870117,-75.19587707519531,01 06,01 06 driving,driving,01,06,14,39.95391845703125,-75.19587707519531,0.0028992713596435755
39.95391845703125,-75.19587707519531,01 06,01 06 driving,driving,01,06,15,39.953887939453125,-75.19587707519531,0.002108560989231246
39.953887939453125,-75.19587707519531,01 06,01 06 driving,driving,01,06,16,39.953857421875,-75.19584655761719,0.0026568009183241008
39.953857421875,-75.19584655761719,01 06,01 06 driving,driving,01,06,17,39.95383834838867,-75.19575500488281,0.0050249181484308125
39.95383834838867,-75.19575500488281,01 06,01 06 driving,driving,01,06,18,39.95383834838867,-75.19575500488281,0
39.95446014404297,-75.205078125,02 06,02 06 driving,driving,02,06,1,39.95594024658203,-75.20478057861328,0.1034723139898771
39.95594024658203,-75.20478057861328,02 06,02 06 driving,driving,02,06,2,39.9556999206543,-75.202850341796875,0.10357048024606799
